Results for r = 10
C8	C10	C12
9766.000000	6539.000000	3108.000000
8665.000000	8737.000000	3108.000000
9766.000000	8737.000000	3108.000000
9766.000000	8737.000000	3108.000000
9766.000000	3571.000000	3108.000000
4790.000000	8737.000000	3007.000000
9766.000000	3571.000000	3108.000000
9766.000000	5163.000000	3108.000000
9766.000000	8737.000000	3007.000000
9766.000000	6539.000000	3108.000000
