   1.1672000e+04	   7.3070000e+03	   6.7810000e+03	
   1.0547000e+04	   3.8070000e+03	   3.3890000e+03	
   1.0637000e+04	   6.7550000e+03	   3.8290000e+03	
   1.0836000e+04	   7.6010000e+03	   3.7540000e+03	
   7.6770000e+03	   3.9350000e+03	   4.9220000e+03	
   1.0413000e+04	   9.0220000e+03	   3.5200000e+03	
   1.0591000e+04	   8.1070000e+03	   3.3190000e+03	
   7.1400000e+03	   9.4780000e+03	   3.7680000e+03	
   5.0590000e+03	   6.5750000e+03	   5.6600000e+03	
   1.1286000e+04	   4.2970000e+03	   6.6600000e+03	
