   9.2070000e+03	   7.8020000e+03	   3.0920000e+03	
   6.2210000e+03	   6.1420000e+03	   3.1750000e+03	
   5.7700000e+03	   3.5710000e+03	   3.1950000e+03	
   1.0426000e+04	   4.1810000e+03	   3.1950000e+03	
   7.2570000e+03	   5.7790000e+03	   3.1230000e+03	
   8.6650000e+03	   8.2330000e+03	   3.1950000e+03	
   9.9010000e+03	   4.7370000e+03	   4.3430000e+03	
   9.3300000e+03	   9.1720000e+03	   3.1230000e+03	
   6.2210000e+03	   4.9430000e+03	   3.0690000e+03	
   1.1164000e+04	   4.1630000e+03	   3.0880000e+03	
