   7.7950000e+03	   8.7370000e+03	   3.1950000e+03	
   9.4690000e+03	   6.5620000e+03	   3.3430000e+03	
   9.7540000e+03	   4.7370000e+03	   4.8760000e+03	
   9.7660000e+03	   8.3330000e+03	   3.1080000e+03	
   1.0426000e+04	   4.5420000e+03	   3.1640000e+03	
   7.2070000e+03	   7.7240000e+03	   3.1270000e+03	
   9.6450000e+03	   5.0430000e+03	   4.4690000e+03	
   9.9740000e+03	   3.5710000e+03	   3.5010000e+03	
   7.5370000e+03	   3.5710000e+03	   3.3800000e+03	
   9.7540000e+03	   5.0850000e+03	   3.5560000e+03	
